Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-18T23:29:29+05:30
Running ./mdh/build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.93, 4.20, 4.33
------------------------------------------------------------------------------------------------------------
Benchmark                                                                  Time             CPU   Iterations
------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536                           91.8 ns         91.8 ns        65536
BM_Rest_ExistingPriceLevel/16/iterations:65536                          89.9 ns         89.9 ns        65536
BM_Rest_ExistingPriceLevel/256/iterations:65536                          101 ns          101 ns        65536
BM_Rest_ExistingPriceLevel/4096/iterations:65536                         110 ns          110 ns        65536
BM_Rest_ExistingPriceLevel/65536/iterations:65536                        158 ns          158 ns        65536
BM_Rest_NewPriceLevel/1/iterations:65536                                 209 ns          209 ns        65536
BM_Rest_NewPriceLevel/16/iterations:65536                                209 ns          209 ns        65536
BM_Rest_NewPriceLevel/256/iterations:65536                               210 ns          210 ns        65536
BM_Rest_NewPriceLevel/4096/iterations:65536                              206 ns          206 ns        65536
BM_Rest_NewPriceLevel/65536/iterations:65536                             170 ns          170 ns        65536
BM_Match_SingleLevel/1/iterations:65536                                 97.5 ns         97.5 ns        65536 items_per_second=10.2608M/s
BM_Match_SingleLevel/4/iterations:65536                                  287 ns          286 ns        65536 items_per_second=13.9624M/s
BM_Match_SingleLevel/16/iterations:16384                                 951 ns          951 ns        16384 items_per_second=16.8268M/s
BM_Match_SingleLevel/64/iterations:4096                                 3694 ns         3694 ns         4096 items_per_second=17.325M/s
BM_Match_SingleLevel/256/iterations:1024                               14491 ns        14491 ns         1024 items_per_second=17.6659M/s
BM_Sweep_Levels/1/iterations:65536                                      99.0 ns         98.8 ns        65536 items_per_second=10.1261M/s
BM_Sweep_Levels/4/iterations:65536                                       347 ns          347 ns        65536 items_per_second=11.5284M/s
BM_Sweep_Levels/16/iterations:16384                                     1325 ns         1326 ns        16384 items_per_second=12.0709M/s
BM_Sweep_Levels/64/iterations:4096                                      5512 ns         5507 ns         4096 items_per_second=11.6209M/s
BM_Sweep_Levels/256/iterations:1024                                    21608 ns        21600 ns         1024 items_per_second=11.8521M/s
