Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:46:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.10, 5.14, 5.06
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             63.6 ns         63.4 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           60.6 ns         60.5 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           8.94 ns         8.81 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              14.07 %         13.90 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            63.5 ns         63.3 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          63.0 ns         62.4 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          3.98 ns         3.85 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              6.27 %          6.08 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           83.6 ns         83.3 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         83.8 ns         83.5 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         1.49 ns         1.50 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             1.79 %          1.80 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                          92.9 ns         92.5 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                        94.1 ns         93.5 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        2.20 ns         2.05 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            2.36 %          2.22 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          143 ns          143 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        141 ns          140 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       9.60 ns         9.33 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           6.70 %          6.52 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   192 ns          191 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 194 ns          194 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                3.61 ns         3.67 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    1.88 %          1.91 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  197 ns          196 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                198 ns          197 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               5.54 ns         5.41 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   2.82 %          2.76 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 193 ns          193 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               193 ns          191 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              7.76 ns         7.68 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  4.01 %          3.99 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                198 ns          197 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              199 ns          198 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             4.84 ns         4.82 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 2.44 %          2.44 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               159 ns          159 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             155 ns          155 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            11.6 ns         11.5 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                7.28 %          7.26 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                   47.7 ns         47.5 ns            5 items_per_second=21.0347M/s
BM_Match_SingleLevel/1/iterations:65536_median                                 47.9 ns         47.8 ns            5 items_per_second=20.918M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                0.809 ns        0.725 ns            5 items_per_second=325.737k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     1.70 %          1.53 %             5 items_per_second=1.55%
BM_Match_SingleLevel/4/iterations:65536_mean                                    112 ns          112 ns            5 items_per_second=35.6942M/s
BM_Match_SingleLevel/4/iterations:65536_median                                  113 ns          112 ns            5 items_per_second=35.598M/s
BM_Match_SingleLevel/4/iterations:65536_stddev                                0.860 ns        0.701 ns            5 items_per_second=223.843k/s
BM_Match_SingleLevel/4/iterations:65536_cv                                     0.77 %          0.63 %             5 items_per_second=0.63%
BM_Match_SingleLevel/16/iterations:16384_mean                                   367 ns          365 ns            5 items_per_second=43.833M/s
BM_Match_SingleLevel/16/iterations:16384_median                                 368 ns          366 ns            5 items_per_second=43.7271M/s
BM_Match_SingleLevel/16/iterations:16384_stddev                                7.38 ns         6.44 ns            5 items_per_second=772.719k/s
BM_Match_SingleLevel/16/iterations:16384_cv                                    2.01 %          1.76 %             5 items_per_second=1.76%
BM_Match_SingleLevel/64/iterations:4096_mean                                   1564 ns         1560 ns            5 items_per_second=41.0211M/s
BM_Match_SingleLevel/64/iterations:4096_median                                 1570 ns         1566 ns            5 items_per_second=40.877M/s
BM_Match_SingleLevel/64/iterations:4096_stddev                                 18.7 ns         18.5 ns            5 items_per_second=491.074k/s
BM_Match_SingleLevel/64/iterations:4096_cv                                     1.20 %          1.19 %             5 items_per_second=1.20%
BM_Match_SingleLevel/256/iterations:1024_mean                                  6011 ns         5988 ns            5 items_per_second=42.7883M/s
BM_Match_SingleLevel/256/iterations:1024_median                                6105 ns         6075 ns            5 items_per_second=42.1386M/s
BM_Match_SingleLevel/256/iterations:1024_stddev                                 200 ns          188 ns            5 items_per_second=1.35255M/s
BM_Match_SingleLevel/256/iterations:1024_cv                                    3.33 %          3.13 %             5 items_per_second=3.16%
BM_Sweep_Levels/1/iterations:65536_mean                                        48.7 ns         48.6 ns            5 items_per_second=20.5903M/s
BM_Sweep_Levels/1/iterations:65536_median                                      48.8 ns         48.8 ns            5 items_per_second=20.4928M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      1.56 ns         1.48 ns            5 items_per_second=622.722k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          3.21 %          3.04 %             5 items_per_second=3.02%
BM_Sweep_Levels/iterations:65536_BigO                                         48.72 (1)       48.60 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              3 %             3 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         165 ns          165 ns            5 items_per_second=24.2982M/s
BM_Sweep_Levels/4/iterations:65536_median                                       165 ns          164 ns            5 items_per_second=24.3696M/s
