Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T03:05:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.56, 4.19, 4.46
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             54.6 ns         54.5 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           50.7 ns         50.5 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           8.31 ns         8.33 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              15.23 %         15.28 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            52.1 ns         52.1 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          51.9 ns         51.9 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                         0.874 ns        0.879 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              1.68 %          1.69 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           62.4 ns         62.3 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         61.4 ns         61.4 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         2.15 ns         2.01 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             3.44 %          3.22 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                          81.0 ns         80.8 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                        79.5 ns         79.1 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        3.07 ns         3.05 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            3.79 %          3.77 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          111 ns          111 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        110 ns          110 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       5.12 ns         4.99 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           4.63 %          4.52 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   162 ns          161 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 162 ns          162 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                1.31 ns         1.45 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    0.81 %          0.90 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  164 ns          164 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                164 ns          164 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               3.93 ns         4.01 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   2.39 %          2.45 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 158 ns          158 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               161 ns          161 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              4.99 ns         5.06 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  3.15 %          3.20 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                163 ns          163 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              166 ns          166 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             4.94 ns         4.95 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 3.03 %          3.04 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               121 ns          120 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             120 ns          119 ns            5
