Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T02:24:16+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.42, 5.08, 4.89
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             56.2 ns         56.2 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           52.7 ns         52.7 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           7.10 ns         7.11 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              12.65 %         12.65 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            56.4 ns         56.4 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          56.4 ns         56.4 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                         0.656 ns        0.657 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              1.16 %          1.16 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           66.6 ns         66.5 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         66.5 ns         66.5 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                        0.459 ns        0.455 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             0.69 %          0.68 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                          87.6 ns         87.6 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                        87.0 ns         87.0 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        1.31 ns         1.30 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            1.49 %          1.48 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          143 ns          143 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        141 ns          141 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       4.58 ns         4.58 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           3.20 %          3.20 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   195 ns          195 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 197 ns          197 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                3.30 ns         3.48 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    1.69 %          1.78 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  193 ns          193 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                193 ns          193 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               1.15 ns         1.13 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   0.60 %          0.59 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 183 ns          183 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               183 ns          183 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              1.37 ns         1.34 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  0.75 %          0.73 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                189 ns          189 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              189 ns          189 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             1.26 ns         1.27 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 0.67 %          0.67 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               155 ns          155 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             155 ns          155 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            3.44 ns         3.44 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                2.22 %          2.22 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                   44.6 ns         44.6 ns            5 items_per_second=22.414M/s
BM_Match_SingleLevel/1/iterations:65536_median                                 44.6 ns         44.6 ns            5 items_per_second=22.4131M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                0.309 ns        0.319 ns            5 items_per_second=159.764k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     0.69 %          0.71 %             5 items_per_second=0.71%
BM_Match_SingleLevel/4/iterations:65536_mean                                    111 ns          111 ns            5 items_per_second=36.2015M/s
BM_Match_SingleLevel/4/iterations:65536_median                                  109 ns          109 ns            5 items_per_second=36.6481M/s
BM_Match_SingleLevel/4/iterations:65536_stddev                                 2.51 ns         2.51 ns            5 items_per_second=815.443k/s
BM_Match_SingleLevel/4/iterations:65536_cv                                     2.27 %          2.27 %             5 items_per_second=2.25%
BM_Match_SingleLevel/16/iterations:16384_mean                                   369 ns          369 ns            5 items_per_second=43.4177M/s
BM_Match_SingleLevel/16/iterations:16384_median                                 370 ns          370 ns            5 items_per_second=43.2938M/s
BM_Match_SingleLevel/16/iterations:16384_stddev                                5.46 ns         5.46 ns            5 items_per_second=649.45k/s
BM_Match_SingleLevel/16/iterations:16384_cv                                    1.48 %          1.48 %             5 items_per_second=1.50%
BM_Match_SingleLevel/64/iterations:4096_mean                                   1415 ns         1415 ns            5 items_per_second=45.3245M/s
BM_Match_SingleLevel/64/iterations:4096_median                                 1382 ns         1382 ns            5 items_per_second=46.2988M/s
BM_Match_SingleLevel/64/iterations:4096_stddev                                 67.9 ns         67.9 ns            5 items_per_second=2.1363M/s
BM_Match_SingleLevel/64/iterations:4096_cv                                     4.80 %          4.80 %             5 items_per_second=4.71%
