Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:53:27+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.79, 5.98, 6.15
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             56.5 ns         56.4 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           52.9 ns         52.9 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           8.32 ns         8.35 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              14.71 %         14.80 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            54.0 ns         53.8 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          55.1 ns         54.8 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          2.19 ns         2.03 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              4.05 %          3.77 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           53.8 ns         53.5 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         52.9 ns         52.9 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         1.58 ns         1.26 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             2.94 %          2.36 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                          54.2 ns         54.0 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                        53.6 ns         53.6 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        1.32 ns         1.15 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            2.44 %          2.13 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          107 ns          106 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        106 ns          106 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       3.47 ns         3.48 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           3.25 %          3.27 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   163 ns          163 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 165 ns          164 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                3.63 ns         3.60 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    2.23 %          2.22 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  162 ns          161 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                162 ns          161 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               1.74 ns         1.79 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   1.08 %          1.11 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 163 ns          162 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               162 ns          162 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              2.96 ns         2.87 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  1.82 %          1.77 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                161 ns          161 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              159 ns          159 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             4.83 ns         4.94 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 3.00 %          3.07 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               124 ns          124 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             123 ns          123 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            3.05 ns         2.84 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                2.46 %          2.30 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                    117 ns          117 ns            5 items_per_second=8.57784M/s
BM_Match_SingleLevel/1/iterations:65536_median                                  117 ns          117 ns            5 items_per_second=8.56568M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                 1.01 ns        0.999 ns            5 items_per_second=73.6857k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     0.86 %          0.86 %             5 items_per_second=0.86%
BM_Match_SingleLevel/4/iterations:65536_mean                                    361 ns          361 ns            5 items_per_second=11.0947M/s
BM_Match_SingleLevel/4/iterations:65536_median                                  361 ns          361 ns            5 items_per_second=11.0913M/s
BM_Match_SingleLevel/4/iterations:65536_stddev                                 3.12 ns         3.00 ns            5 items_per_second=92.7665k/s
BM_Match_SingleLevel/4/iterations:65536_cv                                     0.86 %          0.83 %             5 items_per_second=0.84%
BM_Match_SingleLevel/16/iterations:16384_mean                                   841 ns          838 ns            5 items_per_second=19.0843M/s
BM_Match_SingleLevel/16/iterations:16384_median                                 844 ns          841 ns            5 items_per_second=19.0235M/s
BM_Match_SingleLevel/16/iterations:16384_stddev                                5.56 ns         4.49 ns            5 items_per_second=102.505k/s
BM_Match_SingleLevel/16/iterations:16384_cv                                    0.66 %          0.54 %             5 items_per_second=0.54%
BM_Match_SingleLevel/64/iterations:4096_mean                                   1334 ns         1332 ns            5 items_per_second=48.0587M/s
BM_Match_SingleLevel/64/iterations:4096_median                                 1320 ns         1320 ns            5 items_per_second=48.4823M/s
