Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T10:52:37+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 6.08, 6.35, 6.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             73.4 ns         71.9 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           75.9 ns         72.5 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           10.7 ns         10.4 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              14.61 %         14.46 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            59.3 ns         59.0 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          57.7 ns         57.4 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          4.24 ns         4.13 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              7.16 %          7.01 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           70.0 ns         69.7 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         70.3 ns         70.3 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         1.82 ns         1.63 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             2.61 %          2.34 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                          87.5 ns         87.0 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                        87.6 ns         87.6 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        2.42 ns         2.31 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            2.76 %          2.66 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          114 ns          113 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        111 ns          111 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       6.50 ns         6.39 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           5.72 %          5.66 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   183 ns          180 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 178 ns          174 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                15.7 ns         14.3 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    8.57 %          7.96 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  171 ns          169 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                171 ns          170 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               1.74 ns         1.60 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   1.02 %          0.95 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 169 ns          169 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               168 ns          168 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              6.35 ns         5.96 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  3.75 %          3.53 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                175 ns          174 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              173 ns          173 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             4.88 ns         4.88 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 2.79 %          2.81 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               134 ns          134 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             134 ns          133 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            3.39 ns         3.38 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                2.52 %          2.53 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                    126 ns          125 ns            5 items_per_second=8.00276M/s
BM_Match_SingleLevel/1/iterations:65536_median                                  125 ns          125 ns            5 items_per_second=8.01762M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                 1.34 ns         1.41 ns            5 items_per_second=89.3495k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     1.07 %          1.13 %             5 items_per_second=1.12%
BM_Match_SingleLevel/4/iterations:65536_mean                                    387 ns          384 ns            5 items_per_second=10.4252M/s
BM_Match_SingleLevel/4/iterations:65536_median                                  385 ns          383 ns            5 items_per_second=10.4552M/s
BM_Match_SingleLevel/4/iterations:65536_stddev                                 8.69 ns         6.86 ns            5 items_per_second=183.035k/s
BM_Match_SingleLevel/4/iterations:65536_cv                                     2.25 %          1.79 %             5 items_per_second=1.76%
