Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-20T11:23:24+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.26, 5.71, 5.76
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             57.3 ns         57.2 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           54.9 ns         54.9 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           7.04 ns         7.05 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              12.29 %         12.32 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            53.6 ns         53.4 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          53.9 ns         53.6 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          1.22 ns         1.17 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              2.28 %          2.18 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           54.7 ns         54.6 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         54.3 ns         54.1 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         2.38 ns         2.23 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             4.35 %          4.08 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                          53.6 ns         53.5 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                        53.4 ns         53.3 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                       0.861 ns        0.878 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            1.61 %          1.64 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          106 ns          106 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        105 ns          105 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       2.74 ns         2.81 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           2.58 %          2.65 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   161 ns          161 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 162 ns          162 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                3.52 ns         3.43 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    2.19 %          2.14 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  161 ns          161 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                161 ns          161 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               1.81 ns         1.62 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   1.13 %          1.01 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 162 ns          161 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               162 ns          161 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                             0.433 ns        0.475 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  0.27 %          0.29 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                164 ns          164 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              165 ns          164 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             3.36 ns         3.27 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 2.04 %          1.99 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               122 ns          122 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             122 ns          122 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            3.22 ns         3.25 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                2.63 %          2.66 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                    118 ns          118 ns            5 items_per_second=8.4722M/s
BM_Match_SingleLevel/1/iterations:65536_median                                  119 ns          118 ns            5 items_per_second=8.4519M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                 1.31 ns         1.32 ns            5 items_per_second=95.7964k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     1.11 %          1.12 %             5 items_per_second=1.13%
