Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T20:15:57+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.48, 4.31, 5.25
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             82.2 ns         81.7 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           78.7 ns         78.3 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           7.44 ns         7.36 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                               9.05 %          9.01 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            92.1 ns         91.8 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          91.8 ns         91.6 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          1.36 ns         1.18 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              1.48 %          1.29 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                            107 ns          107 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                          106 ns          106 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         4.13 ns         3.37 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             3.85 %          3.15 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                           111 ns          110 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                         111 ns          110 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        1.63 ns         1.49 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            1.47 %          1.35 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          153 ns          153 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        152 ns          151 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       7.70 ns         7.66 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           5.03 %          5.01 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   212 ns          212 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 218 ns          217 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                13.8 ns         14.0 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    6.50 %          6.64 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  213 ns          213 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                214 ns          214 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               1.88 ns         1.95 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   0.88 %          0.92 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 277 ns          230 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               243 ns          223 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              87.7 ns         36.1 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                 31.71 %         15.67 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                198 ns          196 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              195 ns          194 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             6.60 ns         5.50 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 3.34 %          2.80 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               172 ns          171 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             171 ns          170 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            14.2 ns         13.9 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                8.27 %          8.10 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                    100 ns          100 ns            5 items_per_second=9.99457M/s
BM_Match_SingleLevel/1/iterations:65536_median                                  100 ns          100 ns            5 items_per_second=9.97352M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                0.669 ns        0.676 ns            5 items_per_second=67.6533k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     0.67 %          0.68 %             5 items_per_second=0.68%
BM_Match_SingleLevel/4/iterations:65536_mean                                    284 ns          284 ns            5 items_per_second=14.115M/s
