mdh matching engine, Tier 0 (pmr node pooling + reserve): latency, before vs after

Google Benchmark, --benchmark_repetitions=5, medians of the five repetitions. cv is
the coefficient of variation across those repetitions: a change worth believing is one
that is large next to both cv figures.

  + faster by more than 3%        ! slower by more than 3%

Generated from tier0-before-micro.txt and tier0-after-micro.txt.

benchmark                                         before ns   after ns   change     cv b   cv a
----------------------------------------------------------------------------------------------
+BM_Rest_ExistingPriceLevel/1                          78.7       69.9   -11.2%      9.1   17.5
+BM_Rest_ExistingPriceLevel/16                         91.8       74.7   -18.6%      1.5    3.4
+BM_Rest_ExistingPriceLevel/256                       106.0       90.4   -14.7%      3.9    0.9
 BM_Rest_ExistingPriceLevel/4096                      111.0      112.0    +0.9%      1.5    9.7
!BM_Rest_ExistingPriceLevel/65536                     152.0      172.0   +13.2%      5.0    2.9

!BM_Rest_NewPriceLevel/1                              218.0      245.0   +12.4%      6.5    1.3
!BM_Rest_NewPriceLevel/16                             214.0      221.0    +3.3%      0.9    2.9
+BM_Rest_NewPriceLevel/256                            243.0      218.0   -10.3%     31.7    2.6
!BM_Rest_NewPriceLevel/4096                           195.0      217.0   +11.3%      3.3    3.5
!BM_Rest_NewPriceLevel/65536                          171.0      196.0   +14.6%      8.3    1.5

+BM_Match_SingleLevel/1                               100.0       59.1   -40.9%      0.7    4.0
+BM_Match_SingleLevel/4                               282.0      164.0   -41.8%      2.7    3.1
+BM_Match_SingleLevel/16                              977.0      544.0   -44.3%      0.9    2.1
+BM_Match_SingleLevel/64                             3779.0     1961.0   -48.1%      0.9    0.8
+BM_Match_SingleLevel/256                           14959.0     7635.0   -49.0%      0.7    1.5

+BM_Sweep_Levels/1                                    100.0       57.3   -42.7%      3.0    2.9
+BM_Sweep_Levels/4                                    359.0      198.0   -44.8%      6.8    2.5
+BM_Sweep_Levels/16                                  1373.0      757.0   -44.9%      0.7    1.3
+BM_Sweep_Levels/64                                  5498.0     2980.0   -45.8%      0.6    1.4
+BM_Sweep_Levels/256                                21984.0    11666.0   -46.9%      0.4    0.9
+BM_Sweep_Levels/1024                               88777.0    46921.0   -47.1%      1.1    1.2

+BM_Cancel/1                                           60.9       30.5   -49.9%      2.0    3.5
+BM_Cancel/16                                          94.7       90.5    -4.4%      1.6    4.3
!BM_Cancel/256                                        112.0      137.0   +22.3%      1.7    3.8
+BM_Cancel/4096                                       175.0      154.0   -12.0%      2.4    7.1
+BM_Cancel/65536                                      145.0      111.0   -23.4%      1.7    1.8

+BM_Replace_PriorityPreserving/1                       50.9       26.7   -47.5%      4.1    1.3
+BM_Replace_PriorityPreserving/16                      52.3       26.8   -48.8%      1.8    4.0
+BM_Replace_PriorityPreserving/256                     52.5       27.9   -46.9%      2.5    2.2
+BM_Replace_PriorityPreserving/4096                    52.6       31.2   -40.7%      2.9    1.9
+BM_Replace_PriorityPreserving/65536                   52.3       33.3   -36.3%      0.9    2.6

+BM_Replace_PriorityLosing_QuantityIncrease/1         185.0       69.6   -62.4%      1.1    2.0
+BM_Replace_PriorityLosing_QuantityIncrease/16        230.0      106.0   -53.9%      0.3    0.5
+BM_Replace_PriorityLosing_QuantityIncrease/256       256.0      159.0   -37.9%      0.8    0.8
+BM_Replace_PriorityLosing_QuantityIncrease/4096      295.0      213.0   -27.8%      0.4    0.7
!BM_Replace_PriorityLosing_QuantityIncrease/65536      586.0      649.0   +10.8%      5.5    2.1

+BM_Replace_PriorityLosing_PriceChange/1              191.0       73.1   -61.7%      1.3    2.0
+BM_Replace_PriorityLosing_PriceChange/16             233.0      104.0   -55.4%      0.5    0.7
+BM_Replace_PriorityLosing_PriceChange/256            259.0      160.0   -38.2%      0.9    0.5
+BM_Replace_PriorityLosing_PriceChange/4096           302.0      213.0   -29.5%      0.8    0.7
!BM_Replace_PriorityLosing_PriceChange/65536          579.0      653.0   +12.8%      2.0    0.6

 BM_Fok_Rejected_CrossableLevels/1                      7.9        7.9    -0.1%      0.4    0.9
+BM_Fok_Rejected_CrossableLevels/4                     15.9       14.3   -10.1%      3.3    4.6
+BM_Fok_Rejected_CrossableLevels/16                    54.0       46.4   -14.1%      1.3    1.7
 BM_Fok_Rejected_CrossableLevels/64                   209.0      209.0    +0.0%      0.6    0.4
 BM_Fok_Rejected_CrossableLevels/256                  904.0      926.0    +2.4%      0.3    0.1
!BM_Fok_Rejected_CrossableLevels/1024                3793.0     7226.0   +90.5%      4.7    0.2

 BM_Fok_Rejected_BackgroundDepth/0                      8.1        8.0    -1.4%      1.5    1.0
+BM_Fok_Rejected_BackgroundDepth/16                    12.0        8.5   -29.3%      0.5    3.0
+BM_Fok_Rejected_BackgroundDepth/256                   10.4        8.5   -17.9%      0.8    4.9
+BM_Fok_Rejected_BackgroundDepth/4096                  10.4        8.5   -18.0%      0.6    0.3
+BM_Fok_Rejected_BackgroundDepth/65536                 14.7       12.6   -14.3%      6.9    7.3

+BM_Fok_Executed/1                                    102.0       56.6   -44.5%      0.3    0.5
+BM_Fok_Executed/4                                    357.0      185.0   -48.2%      1.0    1.5
+BM_Fok_Executed/16                                  1422.0      753.0   -47.0%      1.1    2.3
+BM_Fok_Executed/64                                  5770.0     3189.0   -44.7%      0.5    2.1
+BM_Fok_Executed/256                                23811.0    13100.0   -45.0%      0.9    1.3
+BM_Fok_Executed/1024                               96157.0    54640.0   -43.2%      0.9    7.8

Reading the regressions: the paths that got slower are the ones that walk existing
structure rather than allocate. Pool blocks are powers of two, so a price level's map
node moved from 64 to 128 bytes and its list node from 88 to 128, taking a level walk
from 152 to 256 bytes of memory traffic per level -- which is what the FOK preflight
and the deep-book resting cases are paying for.
