Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:54:52+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.93, 4.51, 3.83
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             75.0 ns         75.0 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           71.9 ns         71.7 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           9.74 ns         9.76 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              12.98 %         13.02 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            72.2 ns         72.1 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          72.1 ns         72.1 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          1.13 ns         1.07 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              1.56 %          1.49 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           89.7 ns         89.4 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         88.0 ns         87.9 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         4.06 ns         3.63 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             4.53 %          4.06 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                           113 ns          113 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                         113 ns          113 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        5.06 ns         4.38 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            4.47 %          3.89 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          237 ns          235 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        185 ns          183 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                        102 ns         97.6 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                          42.84 %         41.59 %             5
