Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:37:18+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.39, 3.78, 3.28
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             73.6 ns         73.6 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           70.8 ns         70.8 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           8.47 ns         8.47 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              11.51 %         11.51 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            73.3 ns         73.2 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          71.9 ns         71.8 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          3.31 ns         3.27 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              4.52 %          4.46 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           94.5 ns         94.1 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         92.6 ns         92.7 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         4.31 ns         3.85 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             4.56 %          4.09 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                           111 ns          111 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                         110 ns          110 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        3.94 ns         3.52 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            3.55 %          3.18 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          173 ns          172 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        170 ns          168 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       8.46 ns         8.72 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           4.89 %          5.05 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   240 ns          239 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 239 ns          239 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                3.88 ns         3.32 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    1.62 %          1.39 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  223 ns          222 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                225 ns          222 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               7.01 ns         6.67 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   3.15 %          3.01 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 216 ns          216 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               214 ns          213 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              8.47 ns         8.24 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  3.92 %          3.82 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                222 ns          222 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              223 ns          223 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             6.08 ns         6.03 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 2.74 %          2.72 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               201 ns          200 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             193 ns          193 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            13.6 ns         13.3 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                6.78 %          6.62 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                   57.9 ns         57.8 ns            5 items_per_second=17.2972M/s
BM_Match_SingleLevel/1/iterations:65536_median                                 58.0 ns         57.9 ns            5 items_per_second=17.2781M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                 1.51 ns         1.48 ns            5 items_per_second=440.545k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     2.61 %          2.55 %             5 items_per_second=2.55%
BM_Match_SingleLevel/4/iterations:65536_mean                                    164 ns          164 ns            5 items_per_second=24.4758M/s
BM_Match_SingleLevel/4/iterations:65536_median                                  161 ns          161 ns            5 items_per_second=24.8195M/s
BM_Match_SingleLevel/4/iterations:65536_stddev                                 4.17 ns         4.09 ns            5 items_per_second=598.527k/s
BM_Match_SingleLevel/4/iterations:65536_cv                                     2.54 %          2.50 %             5 items_per_second=2.45%
BM_Match_SingleLevel/16/iterations:16384_mean                                   544 ns          543 ns            5 items_per_second=29.4749M/s
BM_Match_SingleLevel/16/iterations:16384_median                                 545 ns          542 ns            5 items_per_second=29.4941M/s
BM_Match_SingleLevel/16/iterations:16384_stddev                                4.78 ns         4.97 ns            5 items_per_second=269.243k/s
BM_Match_SingleLevel/16/iterations:16384_cv                                    0.88 %          0.92 %             5 items_per_second=0.91%
