Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T21:35:00+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 4.05, 3.37, 3.07
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             75.3 ns         75.0 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           72.1 ns         71.9 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           10.4 ns         10.4 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              13.78 %         13.82 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            73.7 ns         73.5 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          72.4 ns         72.3 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          2.80 ns         2.49 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              3.80 %          3.38 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           87.4 ns         87.0 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         86.5 ns         86.5 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         2.26 ns         1.84 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             2.58 %          2.11 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                           109 ns          109 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                         108 ns          108 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        1.26 ns         1.22 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            1.16 %          1.12 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          168 ns          167 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        167 ns          166 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       7.14 ns         7.16 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           4.26 %          4.29 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   248 ns          247 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 248 ns          247 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                14.0 ns         13.3 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    5.62 %          5.38 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  220 ns          219 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                220 ns          219 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               3.28 ns         3.11 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   1.49 %          1.42 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 222 ns          221 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               220 ns          219 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              6.18 ns         6.35 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  2.79 %          2.87 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                225 ns          224 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              225 ns          224 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             7.53 ns         7.48 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 3.35 %          3.34 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               196 ns          196 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             197 ns          196 ns            5
