Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:22:54+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 8.58, 7.08, 5.49
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             75.4 ns         75.3 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           71.4 ns         71.3 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           10.6 ns         10.6 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              14.09 %         14.07 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            72.5 ns         72.3 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          73.2 ns         73.1 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          1.73 ns         1.59 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              2.38 %          2.20 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           87.5 ns         87.2 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         87.1 ns         86.6 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         2.37 ns         2.22 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             2.71 %          2.55 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                           102 ns          102 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                         101 ns          101 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        2.19 ns         2.13 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            2.14 %          2.09 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          147 ns          146 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        144 ns          144 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       7.91 ns         7.36 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           5.39 %          5.04 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   202 ns          201 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 199 ns          199 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                6.90 ns         6.54 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    3.42 %          3.25 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  204 ns          202 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                204 ns          202 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               9.63 ns         7.82 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   4.71 %          3.87 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 201 ns          200 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               201 ns          200 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              1.64 ns         1.65 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  0.82 %          0.83 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                210 ns          209 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              211 ns          210 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             3.37 ns         3.40 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 1.60 %          1.63 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               167 ns          167 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             165 ns          165 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            7.79 ns         7.49 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                4.66 %          4.49 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                   58.4 ns         58.2 ns            5 items_per_second=17.1979M/s
BM_Match_SingleLevel/1/iterations:65536_median                                 58.3 ns         58.3 ns            5 items_per_second=17.1605M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                0.686 ns        0.575 ns            5 items_per_second=170.788k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     1.17 %          0.99 %             5 items_per_second=0.99%
BM_Match_SingleLevel/4/iterations:65536_mean                                    153 ns          153 ns            5 items_per_second=26.2228M/s
BM_Match_SingleLevel/4/iterations:65536_median                                  153 ns          152 ns            5 items_per_second=26.2354M/s
BM_Match_SingleLevel/4/iterations:65536_stddev                                 4.14 ns         3.44 ns            5 items_per_second=583.795k/s
BM_Match_SingleLevel/4/iterations:65536_cv                                     2.70 %          2.26 %             5 items_per_second=2.23%
BM_Match_SingleLevel/16/iterations:16384_mean                                   488 ns          488 ns            5 items_per_second=32.8274M/s
BM_Match_SingleLevel/16/iterations:16384_median                                 486 ns          485 ns            5 items_per_second=32.9865M/s
BM_Match_SingleLevel/16/iterations:16384_stddev                                9.37 ns         9.62 ns            5 items_per_second=641.71k/s
BM_Match_SingleLevel/16/iterations:16384_cv                                    1.92 %          1.97 %             5 items_per_second=1.95%
BM_Match_SingleLevel/64/iterations:4096_mean                                   1804 ns         1798 ns            5 items_per_second=35.6105M/s
BM_Match_SingleLevel/64/iterations:4096_median                                 1793 ns         1785 ns            5 items_per_second=35.8561M/s
BM_Match_SingleLevel/64/iterations:4096_stddev                                 30.4 ns         33.0 ns            5 items_per_second=649.753k/s
BM_Match_SingleLevel/64/iterations:4096_cv                                     1.68 %          1.83 %             5 items_per_second=1.82%
BM_Match_SingleLevel/256/iterations:1024_mean                                  6974 ns         6948 ns            5 items_per_second=36.8452M/s
BM_Match_SingleLevel/256/iterations:1024_median                                6976 ns         6941 ns            5 items_per_second=36.8801M/s
BM_Match_SingleLevel/256/iterations:1024_stddev                                71.1 ns         62.7 ns            5 items_per_second=330.323k/s
BM_Match_SingleLevel/256/iterations:1024_cv                                    1.02 %          0.90 %             5 items_per_second=0.90%
BM_Sweep_Levels/1/iterations:65536_mean                                        59.6 ns         59.4 ns            5 items_per_second=16.8308M/s
BM_Sweep_Levels/1/iterations:65536_median                                      59.5 ns         59.3 ns            5 items_per_second=16.8603M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                     0.850 ns        0.651 ns            5 items_per_second=184.842k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          1.43 %          1.10 %             5 items_per_second=1.10%
BM_Sweep_Levels/iterations:65536_BigO                                         59.65 (1)       59.42 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              1 %             1 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         194 ns          193 ns            5 items_per_second=20.7436M/s
BM_Sweep_Levels/4/iterations:65536_median                                       194 ns          193 ns            5 items_per_second=20.7016M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      1.53 ns         1.78 ns            5 items_per_second=191.951k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          0.79 %          0.92 %             5 items_per_second=0.93%
BM_Sweep_Levels/iterations:65536_BigO                                        193.85 (1)      192.84 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              1 %             1 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        719 ns          717 ns            5 items_per_second=22.3233M/s
BM_Sweep_Levels/16/iterations:16384_median                                      718 ns          717 ns            5 items_per_second=22.3082M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     6.89 ns         5.39 ns            5 items_per_second=167.483k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         0.96 %          0.75 %             5 items_per_second=0.75%
BM_Sweep_Levels/iterations:16384_BigO                                        719.23 (1)      716.77 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
BM_Sweep_Levels/64/iterations:4096_mean                                        2813 ns         2804 ns            5 items_per_second=22.8261M/s
BM_Sweep_Levels/64/iterations:4096_median                                      2824 ns         2812 ns            5 items_per_second=22.7615M/s
BM_Sweep_Levels/64/iterations:4096_stddev                                      24.6 ns         23.1 ns            5 items_per_second=189.16k/s
BM_Sweep_Levels/64/iterations:4096_cv                                          0.87 %          0.82 %             5 items_per_second=0.83%
BM_Sweep_Levels/iterations:4096_BigO                                        2812.75 (1)     2803.96 (1)  
BM_Sweep_Levels/iterations:4096_RMS                                               1 %             1 %    
BM_Sweep_Levels/256/iterations:1024_mean                                      11241 ns        11208 ns            5 items_per_second=22.8416M/s
BM_Sweep_Levels/256/iterations:1024_median                                    11255 ns        11206 ns            5 items_per_second=22.8448M/s
BM_Sweep_Levels/256/iterations:1024_stddev                                     99.5 ns         90.3 ns            5 items_per_second=184.695k/s
BM_Sweep_Levels/256/iterations:1024_cv                                         0.88 %          0.81 %             5 items_per_second=0.81%
BM_Sweep_Levels/iterations:1024_BigO                                       11241.36 (1)    11208.20 (1)  
BM_Sweep_Levels/iterations:1024_RMS                                               1 %             1 %    
BM_Sweep_Levels/1024/iterations:256_mean                                      45500 ns        45373 ns            5 items_per_second=22.5707M/s
BM_Sweep_Levels/1024/iterations:256_median                                    45435 ns        45320 ns            5 items_per_second=22.5947M/s
BM_Sweep_Levels/1024/iterations:256_stddev                                      521 ns          489 ns            5 items_per_second=240.95k/s
BM_Sweep_Levels/1024/iterations:256_cv                                         1.14 %          1.08 %             5 items_per_second=1.07%
BM_Sweep_Levels/iterations:256_BigO                                        45500.46 (1)    45372.66 (1)  
BM_Sweep_Levels/iterations:256_RMS                                                1 %             1 %    
BM_Cancel/1/iterations:65536_mean                                              30.6 ns         30.5 ns            5
BM_Cancel/1/iterations:65536_median                                            30.6 ns         30.6 ns            5
BM_Cancel/1/iterations:65536_stddev                                           0.503 ns        0.434 ns            5
BM_Cancel/1/iterations:65536_cv                                                1.65 %          1.42 %             5
BM_Cancel/16/iterations:65536_mean                                             87.4 ns         87.2 ns            5
