Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-19T22:15:10+05:30
Running ./build/bench_matching_engine
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 5.03, 4.82, 4.26
-------------------------------------------------------------------------------------------------------------------
Benchmark                                                                         Time             CPU   Iterations
-------------------------------------------------------------------------------------------------------------------
BM_Rest_ExistingPriceLevel/1/iterations:65536_mean                             74.6 ns         74.4 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_median                           70.1 ns         69.9 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_stddev                           10.5 ns         10.4 ns            5
BM_Rest_ExistingPriceLevel/1/iterations:65536_cv                              14.14 %         13.97 %             5
BM_Rest_ExistingPriceLevel/16/iterations:65536_mean                            74.0 ns         73.8 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_median                          74.4 ns         74.3 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_stddev                          2.77 ns         2.53 ns            5
BM_Rest_ExistingPriceLevel/16/iterations:65536_cv                              3.74 %          3.43 %             5
BM_Rest_ExistingPriceLevel/256/iterations:65536_mean                           92.8 ns         92.5 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_median                         92.7 ns         92.2 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_stddev                         1.84 ns         1.80 ns            5
BM_Rest_ExistingPriceLevel/256/iterations:65536_cv                             1.98 %          1.94 %             5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_mean                           107 ns          107 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_median                         107 ns          106 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_stddev                        1.12 ns         1.01 ns            5
BM_Rest_ExistingPriceLevel/4096/iterations:65536_cv                            1.05 %          0.94 %             5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_mean                          168 ns          168 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_median                        164 ns          164 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_stddev                       10.0 ns         9.92 ns            5
BM_Rest_ExistingPriceLevel/65536/iterations:65536_cv                           5.96 %          5.90 %             5
BM_Rest_NewPriceLevel/1/iterations:65536_mean                                   231 ns          230 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_median                                 233 ns          232 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_stddev                                6.25 ns         6.21 ns            5
BM_Rest_NewPriceLevel/1/iterations:65536_cv                                    2.70 %          2.70 %             5
BM_Rest_NewPriceLevel/16/iterations:65536_mean                                  219 ns          219 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_median                                219 ns          219 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_stddev                               1.73 ns         1.71 ns            5
BM_Rest_NewPriceLevel/16/iterations:65536_cv                                   0.79 %          0.78 %             5
BM_Rest_NewPriceLevel/256/iterations:65536_mean                                 225 ns          225 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_median                               223 ns          223 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_stddev                              6.49 ns         6.22 ns            5
BM_Rest_NewPriceLevel/256/iterations:65536_cv                                  2.88 %          2.77 %             5
BM_Rest_NewPriceLevel/4096/iterations:65536_mean                                223 ns          222 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_median                              224 ns          224 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_stddev                             3.85 ns         3.69 ns            5
BM_Rest_NewPriceLevel/4096/iterations:65536_cv                                 1.73 %          1.66 %             5
BM_Rest_NewPriceLevel/65536/iterations:65536_mean                               194 ns          193 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_median                             190 ns          190 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_stddev                            9.85 ns         9.87 ns            5
BM_Rest_NewPriceLevel/65536/iterations:65536_cv                                5.08 %          5.11 %             5
BM_Match_SingleLevel/1/iterations:65536_mean                                   57.4 ns         57.1 ns            5 items_per_second=17.5267M/s
BM_Match_SingleLevel/1/iterations:65536_median                                 57.7 ns         57.2 ns            5 items_per_second=17.4903M/s
BM_Match_SingleLevel/1/iterations:65536_stddev                                 1.74 ns         1.54 ns            5 items_per_second=476.939k/s
BM_Match_SingleLevel/1/iterations:65536_cv                                     3.03 %          2.70 %             5 items_per_second=2.72%
BM_Match_SingleLevel/4/iterations:65536_mean                                    165 ns          164 ns            5 items_per_second=24.3542M/s
BM_Match_SingleLevel/4/iterations:65536_median                                  163 ns          163 ns            5 items_per_second=24.5568M/s
BM_Match_SingleLevel/4/iterations:65536_stddev                                 7.67 ns         7.01 ns            5 items_per_second=994.297k/s
BM_Match_SingleLevel/4/iterations:65536_cv                                     4.64 %          4.26 %             5 items_per_second=4.08%
BM_Match_SingleLevel/16/iterations:16384_mean                                   551 ns          549 ns            5 items_per_second=29.1582M/s
BM_Match_SingleLevel/16/iterations:16384_median                                 546 ns          545 ns            5 items_per_second=29.3653M/s
BM_Match_SingleLevel/16/iterations:16384_stddev                                10.1 ns         10.5 ns            5 items_per_second=554.482k/s
BM_Match_SingleLevel/16/iterations:16384_cv                                    1.83 %          1.91 %             5 items_per_second=1.90%
BM_Match_SingleLevel/64/iterations:4096_mean                                   1901 ns         1895 ns            5 items_per_second=33.7721M/s
BM_Match_SingleLevel/64/iterations:4096_median                                 1898 ns         1892 ns            5 items_per_second=33.825M/s
BM_Match_SingleLevel/64/iterations:4096_stddev                                 13.1 ns         11.9 ns            5 items_per_second=212.075k/s
BM_Match_SingleLevel/64/iterations:4096_cv                                     0.69 %          0.63 %             5 items_per_second=0.63%
BM_Match_SingleLevel/256/iterations:1024_mean                                  7182 ns         7163 ns            5 items_per_second=35.7423M/s
BM_Match_SingleLevel/256/iterations:1024_median                                7122 ns         7123 ns            5 items_per_second=35.9397M/s
BM_Match_SingleLevel/256/iterations:1024_stddev                                 106 ns         99.6 ns            5 items_per_second=494.789k/s
BM_Match_SingleLevel/256/iterations:1024_cv                                    1.48 %          1.39 %             5 items_per_second=1.38%
BM_Sweep_Levels/1/iterations:65536_mean                                        58.1 ns         57.9 ns            5 items_per_second=17.2739M/s
BM_Sweep_Levels/1/iterations:65536_median                                      58.7 ns         58.7 ns            5 items_per_second=17.04M/s
BM_Sweep_Levels/1/iterations:65536_stddev                                      2.08 ns         1.95 ns            5 items_per_second=586.788k/s
BM_Sweep_Levels/1/iterations:65536_cv                                          3.59 %          3.37 %             5 items_per_second=3.40%
BM_Sweep_Levels/iterations:65536_BigO                                         58.08 (1)       57.94 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              3 %             3 %    
BM_Sweep_Levels/4/iterations:65536_mean                                         199 ns          198 ns            5 items_per_second=20.2465M/s
BM_Sweep_Levels/4/iterations:65536_median                                       196 ns          195 ns            5 items_per_second=20.4912M/s
BM_Sweep_Levels/4/iterations:65536_stddev                                      8.20 ns         8.08 ns            5 items_per_second=821.18k/s
BM_Sweep_Levels/4/iterations:65536_cv                                          4.13 %          4.08 %             5 items_per_second=4.06%
BM_Sweep_Levels/iterations:65536_BigO                                        198.52 (1)      197.83 (1)  
BM_Sweep_Levels/iterations:65536_RMS                                              4 %             4 %    
BM_Sweep_Levels/16/iterations:16384_mean                                        735 ns          733 ns            5 items_per_second=21.8405M/s
BM_Sweep_Levels/16/iterations:16384_median                                      739 ns          737 ns            5 items_per_second=21.6971M/s
BM_Sweep_Levels/16/iterations:16384_stddev                                     10.5 ns         9.75 ns            5 items_per_second=294.319k/s
BM_Sweep_Levels/16/iterations:16384_cv                                         1.43 %          1.33 %             5 items_per_second=1.35%
BM_Sweep_Levels/iterations:16384_BigO                                        734.57 (1)      732.69 (1)  
BM_Sweep_Levels/iterations:16384_RMS                                              1 %             1 %    
